Year,Category,Strata,Cases,Population,"Rate per 100,000 population"
2005,Age group,15-24,281,"5,350,616",5.3
2005,Age group,25-44,916,"10,621,621",8.6
2005,Age group,45-64,846,"8,237,571",10.3
2005,Age group,65+,703,"3,824,947",18.4
2006,Age group,0-4,91,"2,582,130",3.5
2006,Age group,5-14,45,"5,328,339",0.8
2006,Age group,15-24,321,"5,416,747",5.9
2006,Age group,25-44,855,"10,579,211",8.1
2006,Age group,45-64,790,"8,464,366",9.3
2006,Age group,65+,674,"3,876,029",17.4
2007,Age group,0-4,89,"2,581,885",3.4
2007,Age group,5-14,46,"5,295,726",0.9
2007,Age group,15-24,293,"5,483,979",5.3
2007,Age group,25-44,786,"10,567,468",7.4
2007,Age group,45-64,860,"8,685,619",9.9
2007,Age group,65+,648,"3,937,852",16.5
2008,Age group,0-4,88,"2,585,622",3.4
2008,Age group,5-14,66,"5,249,509",1.3
2008,Age group,15-24,279,"5,534,642",5.0
2008,Age group,25-44,813,"10,578,171",7.7
2008,Age group,45-64,828,"8,889,679",9.3
2008,Age group,65+,621,"4,018,600",15.5
2009,Age group,0-4,70,"2,549,345",2.7
2009,Age group,5-14,55,"5,106,833",1.1
2009,Age group,15-24,237,"5,529,978",4.3
2009,Age group,25-44,736,"10,500,937",7.0
2009,Age group,45-64,740,"9,198,614",8.0
2009,Age group,65+,628,"4,191,497",15.0
2010,Age group,0-4,55,"2,535,968",2.2
2010,Age group,5-14,46,"5,103,768",0.9
2010,Age group,15-24,216,"5,583,616",3.9
2010,Age group,25-44,680,"10,519,699",6.5
2010,Age group,45-64,737,"9,336,213",7.9
2010,Age group,65+,589,"4,284,104",13.7
2011,Age group,0-4,82,"2,541,979",3.2
2011,Age group,5-14,46,"5,094,719",0.9
2011,Age group,15-24,179,"5,642,195",3.2
2011,Age group,25-44,625,"10,519,402",5.9
2011,Age group,45-64,771,"9,482,039",8.1
2011,Age group,65+,617,"4,423,260",13.9
2012,Age group,0-4,48,"2,526,591",1.9
2012,Age group,5-14,40,"5,112,200",0.8
2012,Age group,15-24,214,"5,704,891",3.8
2012,Age group,25-44,596,"10,519,075",5.7
2012,Age group,45-64,699,"9,572,119",7.3
2012,Age group,65+,587,"4,620,909",12.7
2013,Age group,0-4,58,"2,507,890",2.3
2013,Age group,5-14,32,"5,125,971",0.6
2013,Age group,15-24,185,"5,743,673",3.2
2013,Age group,25-44,552,"10,492,337",5.3
2013,Age group,45-64,662,"9,658,619",6.9
2013,Age group,65+,673,"4,814,152",14.0
2014,Age group,0-4,56,"2,502,235",2.2
2014,Age group,5-14,33,"5,127,730",0.6
2014,Age group,15-24,187,"5,787,507",3.2
2014,Age group,25-44,529,"10,452,725",5.1
2014,Age group,45-64,657,"9,760,153",6.7
2014,Age group,65+,668,"5,014,453",13.3
2015,Age group,0-4,36,"2,503,214",1.4
2015,Age group,5-14,32,"5,121,712",0.6
2015,Age group,15-24,186,"5,804,899",3.2
2015,Age group,25-44,507,"10,385,858",4.9
2015,Age group,45-64,691,"9,876,278",7.0
2015,Age group,65+,679,"5,221,547",13.0
2016,Age group,0-4,34,"2,477,427",1.4
2016,Age group,5-14,17,"5,127,211",0.3
2016,Age group,15-24,174,"5,805,170",3.0
2016,Age group,25-44,505,"10,345,547",4.9
2016,Age group,45-64,646,"9,958,406",6.5
2016,Age group,65+,683,"5,414,094",12.6
2017,Age group,0-4,39,"2,457,342",1.6
2017,Age group,5-14,39,"5,130,290",0.8
2017,Age group,15-24,162,"5,763,700",2.8
2017,Age group,25-44,492,"10,351,807",4.8
2017,Age group,45-64,654,"10,009,591",6.5
2017,Age group,65+,671,"5,616,197",11.9
2018,Age group,0-4,28,"2,414,430",1.2
2018,Age group,5-14,37,"5,124,073",0.7
2018,Age group,15-24,173,"5,731,846",3.0
2018,Age group,25-44,498,"10,376,766",4.8
2018,Age group,45-64,657,"10,012,435",6.6
2018,Age group,65+,704,"5,816,514",12.1
2019,Age group,0-4,29,"2,355,841",1.2
2019,Age group,5-14,26,"5,103,462",0.5
2019,Age group,15-24,163,"5,695,393",2.9
2019,Age group,25-44,502,"10,379,412",4.8
2019,Age group,45-64,631,"9,966,713",6.3
2019,Age group,65+,760,"6,028,746",12.6
2020,Age group,0-4,23,"2,292,541",1.0
2020,Age group,5-14,24,"5,075,559",0.5
2020,Age group,15-24,135,"5,668,695",2.4
2020,Age group,25-44,383,"10,352,081",3.7
2020,Age group,45-64,538,"9,903,923",5.4
2020,Age group,65+,601,"6,248,988",9.6
2021,Age group,0-4,24,"2,226,527",1.1
2021,Age group,5-14,19,"5,007,336",0.4
2021,Age group,15-24,104,"5,613,890",1.9
2021,Age group,25-44,424,"10,302,066",4.1
2021,Age group,45-64,546,"9,785,386",5.6
2021,Age group,65+,635,"6,433,408",9.9
2005,Sex,Male,1747,"17,898,283",9.8
2005,Sex,Female,1150,"18,087,299",6.4
2006,Sex,Male,1666,"18,027,444",9.2
2006,Sex,Female,1110,"18,219,378",6.1
2007,Sex,Male,1649,"18,179,624",9.1
2007,Sex,Female,1073,"18,372,905",5.8
2008,Sex,Male,1654,"18,330,671",9.0
2008,Sex,Female,1041,"18,525,551",5.6
2009,Sex,Male,1498,"18,444,224",8.1
2009,Sex,Female,967,"18,632,980",5.2
2009,Sex,Unknown,1,.,.
2010,Sex,Male,1374,"18,582,184",7.4
2010,Sex,Female,949,"18,781,184",5.1
2011,Sex,Male,1379,"18,765,193",7.3
2011,Sex,Female,941,"18,938,400",5.0
2012,Sex,Male,1293,"18,945,559",6.8
2012,Sex,Female,891,"19,110,226",4.7
2013,Sex,Male,1319,"19,100,336",6.9
2013,Sex,Female,843,"19,242,306",4.4
2014,Sex,Male,1288,"19,261,310",6.7
2014,Sex,Female,842,"19,383,492",4.3
2015,Sex,Male,1249,"19,403,923",6.4
2015,Sex,Female,882,"19,509,584",4.5
2016,Sex,Male,1280,"19,517,338",6.6
2016,Sex,Female,779,"19,610,517",4.0
2017,Sex,Male,1276,"19,622,960",6.5
2017,Sex,Female,781,"19,705,966",4.0
2018,Sex,Male,1277,"19,702,484",6.5
2018,Sex,Female,820,"19,773,580",4.1
2019,Sex,Male,1281,"19,730,809",6.5
2019,Sex,Female,830,"19,798,757",4.2
2020,Sex,Male,1009,"19,731,479",5.1
2020,Sex,Female,695,"19,810,307",3.5
2021,Sex,Male,1101,"19,646,457",5.6
2021,Sex,Female,651,"19,722,156",3.3
2005,Origin,US-born,653,"26,161,728",2.5
2005,Origin,non-US-born,2228,"9,823,854",22.7
2005,Origin,unknown,16,.,.
2006,Origin,US-born,635,"26,421,487",2.4
2006,Origin,non-US-born,2128,"9,825,335",21.7
2006,Origin,unknown,13,.,.
2007,Origin,US-born,595,"26,538,303",2.2
2007,Origin,non-US-born,2107,"10,014,226",21.0
2007,Origin,unknown,20,.,.
2008,Origin,US-born,669,"26,973,243",2.5
2008,Origin,non-US-born,2021,"9,882,979",20.4
2008,Origin,unknown,5,.,.
2009,Origin,US-born,580,"27,114,909",2.1
2009,Origin,non-US-born,1872,"9,962,295",18.8
2009,Origin,unknown,14,.,.
2010,Origin,US-born,495,"27,215,905",1.8
2010,Origin,non-US-born,1824,"10,147,463",18.0
2010,Origin,unknown,4,.,.
2011,Origin,US-born,513,"27,477,745",1.9
2011,Origin,non-US-born,1803,"10,225,848",17.6
2011,Origin,unknown,4,.,.
2012,Origin,US-born,462,"27,762,718",1.7
2012,Origin,non-US-born,1721,"10,293,067",16.7
2012,Origin,unknown,1,.,.
2013,Origin,US-born,462,"28,018,816",1.6
2013,Origin,non-US-born,1697,"10,323,826",16.4
2013,Origin,unknown,3,.,.
2014,Origin,US-born,457,"28,215,793",1.6
2014,Origin,non-US-born,1670,"10,429,009",16.0
2014,Origin,unknown,3,.,.
2015,Origin,US-born,404,"28,299,849",1.4
2015,Origin,non-US-born,1722,"10,613,658",16.2
2015,Origin,unknown,5,.,.
2016,Origin,US-born,384,"28,480,832",1.3
2016,Origin,non-US-born,1670,"10,647,023",15.7
2016,Origin,unknown,5,.,.
2017,Origin,US-born,367,"28,763,747",1.3
2017,Origin,non-US-born,1685,"10,565,179",15.9
2017,Origin,unknown,5,.,.
2018,Origin,US-born,360,"28,888,110",1.2
2018,Origin,non-US-born,1736,"10,587,954",16.4
2018,Origin,unknown,1,.,.
2019,Origin,US-born,375,"28,969,508",1.3
2019,Origin,non-US-born,1730,"10,560,058",16.4
2019,Origin,unknown,6,.,.
2020,Origin,US-born,276,"28,978,463",1.0
2020,Origin,non-US-born,1420,"10,563,323",13.4
2020,Origin,unknown,8,.,.
2021,Origin,US-born,311,"28,851,552",1.1
2021,Origin,non-US-born,1428,"10,517,061",13.6
2021,Origin,unknown,13,.,.
